real,imag
27,0
-1547,0
-2215,0
-1586,0
-27,0
1547,0
2215,0
1585,0
-1,0
0,0
0,0
0,0
0,1
0,0
0,0
-1,0
0,0
0,0
0,0
0,0
0,0
0,-1
0,-1
0,0
0,-1
-1,0
0,0
0,0
0,0
0,-1
-1,-1
-1,0
0,-1
1,0
1,0
0,0
0,0
-1,0
-1,0
-1,0
0,0
0,-1
0,0
-1,-1
-1,0
-1,-1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-1
0,0
0,0
0,1
1,-1
-1,-1
-2,0
0,1
2,-1
0,-2
-1,-1
-13,1108
-791,774
-1106,-13
-773,-793
13,-1108
792,-774
1106,13
771,792
-1,0
0,0
0,0
0,0
-1,1
-1,0
0,0
-1,0
0,0
0,0
0,0
0,0
-1,0
0,0
0,0
0,-1
0,0
0,0
-1,0
-1,-1
0,0
0,0
0,-1
-1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-1,0
0,-1
0,0
0,0
0,0
0,0
0,0
0,-1
0,0
0,0
0,-1
-1,0
0,0
0,0
0,0
0,0
0,0
-14,-1109
-1108,11
13,1106
1108,-15
-15,-1109
-1108,12
14,1107
1107,-15
0,-2197
1557,-1553
2202,0
1557,1552
0,2196
-1557,1552
-2203,0
-1557,-1553
0,-1
0,-1
-1,0
-1,0
-1,0
0,0
0,-1
0,-1
0,0
0,0
0,-1
0,0
0,0
0,0
0,-1
0,0
0,0
0,-2
0,-1
-1,0
1,-1
0,0
0,-1
-1,-1
0,0
1,-1
0,0
0,0
0,0
-1,0
0,0
-1,0
0,0
0,0
0,-1
0,0
0,-1
0,1
0,-1
-1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
3,0
0,-4
-4,1
0,1
3,0
-1,-4
-4,0
0,0
1,-2
3,0
1,2
0,0
-1,1
-3,0
-2,-2
0,-1
0,0
0,0
-1,1
-1,0
0,0
-1,-1
0,0
0,0
0,0
0,0
0,0
-1,-1
0,0
-1,0
0,-1
0,-1
1,0
0,-1
-1,0
0,0
2,-1
-1,-1
-2,-1
0,0
0,0
0,0
0,0
-1,-1
0,0
-1,0
0,0
0,0
0,0
0,0
0,0
-1,0
0,0
-1,0
-1,0
0,0
0,0
0,0
1,0
0,0
0,0
-1,0
0,0
0,2198
2201,-2
-1,-2204
-2200,-3
-1,2197
2200,-4
-1,-2204
-2200,-3
