real,imag
0,0
0,0
0,0
0,0
0,0
-3,0
-5,0
-4,0
2,0
11,0
16,0
9,0
-6,0
-25,0
-30,0
-15,0
16,0
44,0
48,0
18,0
-30,0
-69,0
-68,0
-18,0
52,0
100,0
88,0
14,0
-80,0
-134,0
-106,0
-3,0
115,0
172,0
122,0
-14,0
-157,0
-212,0
-134,0
40,0
205,0
252,0
139,0
-75,0
-259,0
-290,0
-136,0
119,0
317,0
325,0
124,0
-171,0
-377,0
-355,0
-102,0
232,0
439,0
377,0
69,0
-300,0
-499,0
-390,0
-25,0
374,0
556,0
393,0
-28,0
-451,0
-608,0
-383,0
93,0
532,0
652,0
362,0
-168,0
-612,0
-686,0
-328,0
250,0
691,0
710,0
281,0
-339,0
-764,0
-720,0
-221,0
432,0
831,0
718,0
149,0
-528,0
-890,0
-701,0
-67,0
623,0
937,0
670,0
-23,0
-715,0
-972,0
-624,0
121,0
803,0
993,0
563,0
-223,0
-883,0
-999,0
-491,0
329,0
954,0
989,0
407,0
-433,0
-1012,0
-964,0
-314,0
535,0
1058,0
923,0
214,0
-632,0
-1088,0
-869,0
-107,0
721,0
1104,0
800,0
0,0
-800,0
-1103,0
-720,0
107,0
868,0
1086,0
631,0
-213,0
-921,0
-1055,0
-534,0
313,0
960,0
1008,0
431,0
-405,0
-984,0
-948,0
-327,0
488,0
992,0
877,0
222,0
-559,0
-985,0
-796,0
-120,0
618,0
963,0
708,0
23,0
-663,0
-928,0
-616,0
66,0
693,0
879,0
521,0
-147,0
-709,0
-820,0
-426,0
218,0
710,0
753,0
334,0
-276,0
-698,0
-679,0
-246,0
322,0
673,0
601,0
164,0
-355,0
-638,0
-521,0
-91,0
375,0
594,0
441,0
27,0
-383,0
-542,0
-365,0
25,0
379,0
486,0
291,0
-67,0
-366,0
-426,0
-225,0
99,0
343,0
365,0
165,0
-120,0
-314,0
-306,0
-114,0
131,0
279,0
248,0
72,0
-133,0
-241,0
-196,0
-38,0
127,0
202,0
149,0
13,0
-116,0
-163,0
-108,0
3,0
100,0
126,0
74,0
-13,0
-81,0
-92,0
-47,0
17,0
62,0
63,0
28,0
-16,0
-43,0
-39,0
-14,0
13,0
26,0
21,0
5,0
-8,0
-13,0
-9,0
-1,0
3,0
4,0
2,0
0,0
0,0
0,0
0,0
